,Twitch Switch,,,,,,,,Total filament (g),,,Unit Cost,Total Cost,Total Print time (hr),,,
,Version:,3.0,,Last updated:,2024-Mar-25,,,,56,,, $197.95 , $373.73 ,6:14,,,
ID,Part,Description,,Manufacturer,MPN,Supplier,Supplier PN,QTY,QTY / PKG,PKGs,$/PKG,Price per Unit,Total Price,,Link,Alternate,Notes
,Electronics,,,,,,,,,,,,,,,,
Twitch Controller,,,,,,,,1,,,,,,,,,
A04,"J1, J2, J3",CONN JACK STEREO 3.5MM TH R/A,,"Kycon, Inc.",STX-3000,Digi-Key,2092-STX-3000-ND,3,1,3, $1.18 , $3.54 , $3.54 ,,https://www.digikey.ca/en/products/detail/kycon-inc/STX-3000/9975995,,
A05,"U1, U2, U3","DIP-4 400V/120 MA, SSR RELAY SPS",,"Bright Toward Industrial Co., Ltd.",AB30,Digi-Key,3008-AB30-ND,3,1,3, $2.72 , $8.16 , $8.16 ,,https://www.digikey.ca/en/products/detail/bright-toward-industrial-co-ltd/AB30/13556959,,
A09,"R1, R2, R3",RES 680 OHM 5% 1/4W AXIAL,,YAGEO,CFR-25JB-52-680R,Digi-Key,680QBK-ND,3,1,3, $0.16 , $0.48 , $0.48 ,,https://www.digikey.ca/en/products/detail/yageo/CFR-25JB-52-680R/2826,,
A06,"R4, R5, R6",RES 330 OHM 5% 1/4W AXIAL,,YAGEO,CFR-25JB-52-330R,Digi-Key,330QBK-ND,3,1,3, $0.16 , $0.48 , $0.48 ,,https://www.digikey.ca/en/products/detail/yageo/CFR-25JB-52-330R/1636,,
A12,"SW2, SW3","6 X 7.4 MM, 15.3 MM ACTUATOR HEI",,CUI Devices,TS11-674-153-BK-260-RA-D,Digi-Key,2223-TS11-674-153-BK-260-RA-D-ND,2,1,2, $0.24 , $0.48 , $0.48 ,,https://www.digikey.ca/en/products/detail/cui-devices/TS11-674-153-BK-260-RA-D/16562823,,
A03,SW1,SWITCH SLIDE SPDT 100MA 12V,,Nidec Copal Electronics,CSS-1210TB,Digi-Key,CSS-1210TB,1,1,1, $0.91 , $0.91 , $0.91 ,,https://www.digikey.ca/en/products/detail/nidec-components-corporation/CSS-1210TB/1124209,,
A02,XA1,ADAFRUIT FEATHER NRF52840 EXPRES,,Adafruit Industries LLC,4062,Digi-Key,1528-2828-ND,1,1,1, $39.10 , $39.10 , $39.10 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4062/9843410,,
